"regionID","parentRegionID","regionHZ","regionPY","VariantName","PresentdayEquivalent","PresentdayEquivalentPY"
128,115,"天津","Tianjin","","天津","Tianjin"
130,0,"山西(清)","Shanxi","","",""
131,130,"洪洞","Hongdong","","山西洪洞","Shanxi Hongdong"
133,3,"嘉定","Jiading","","上海嘉定","Shanghai Jiading"
132,3,"江寧","Jiangning","","江蘇南京","Jiangsu Nanjing"
134,135,"廬陵","Luling","","江西吉安","Jiangxi Ji'an"
135,0,"江西(清)","Jiangxi","","",""
136,91,"當塗","Dangtu","","安徽當塗","Anhui Dangtu"
137,115,"遼陽","Liaoyang","","遼寧遼陽","Liaoning Liaoyang"
140,3,"宜興","Yixing","","江蘇宜興","Jiangsu Yixing"
142,143,"貴筑","Guizhu","","貴州貴陽","Guizhou Guiyang"
143,0,"貴州(清)","Guizhou","","",""
144,145,"臨桂","Lingui","","廣西桂林","Guangxi Guilin"
145,0,"廣西(清)","Guangxi","","",""
146,135,"東鄉","Dongxiang","","江西東鄉","Jiangxi Dongxiang"
147,148,"遂寧","Suining","","四川遂寧","Sichuan Suining"
148,0,"四川(清)","Sichuan","","",""
150,3,"無錫","Wuxi","","江蘇無錫","Jiangsu Wuxi"
473,227,"陝縣","Shan Xian","","河南陝縣","Henan Shan Xian"
152,135,"餘干","Yugan","","江西餘干","Jiangxi Yugan"
153,130,"太原","Taiyuan","","山西太原","Shanxi Taiyuan"
154,135,"南城","Nancheng","","江西南城","Jiangxi Nancheng"
157,91,"蒙城","Mengcheng","","安徽蒙城","Anhui Mengcheng"
156,115,"南皮","Nanpi","","河北南皮","Hebei Nanpi"
158,148,"邛州","Qiongzhou","","四川邛崍","Sichuan Qionglai"
416,3,"山陽","Shanyang","","江蘇淮安","Jiangsu Huaian"
160,126,"湘陰","Xiangyin","","湖南湘陰","Hunan Xiangyin"
181,182,"晉寧","Jinning","","雲南晉寧","Yunnan Jinning"
472,130,"文水","Wenshui","","山西文水","Shanxi Wenshui"
163,20,"漳浦","Zhangpu","","福建漳浦","Fujian Zhangpu"
1139,694,"洛陽","Luoyang","","河南洛陽","Henan Luoyang"
165,3,"太倉","Taicang","","江蘇太倉","Jiangsu Taicang"
166,172,"孝感","Xiaogan","","湖北孝感","Hubei Xiaogan"
167,91,"休寧","Xiuning","","安徽休寧","Anhui Xiuning"
168,91,"涇縣","Jing Xian","","安徽涇縣","Anhui Jing Xian"
171,44,"上虞","Shangyu","","浙江上虞","Zhejiang Shangyu"
172,0,"湖北(清)","Hubei","","",""
173,3,"如皐","Rugao","","江蘇如皐","Jiangsu Rugao"
175,44,"東陽","Dongyang","","浙江東陽","Zhejiang Dongyang"
176,44,"海寧","Haining","","浙江海寧","Zhejiang Haining"
177,126,"安化","Anhua","","湖南安化","Hunan Anhua"
178,172,"江夏","Jiangxia","","湖北武漢","Hubei Wuhan"
179,3,"宿遷","Suqian","","江蘇宿遷","Jiangsu Suqian"
180,148,"西充","Xichong","","四川西充","Sichuan Xichong"
182,0,"雲南(清)","Yunnan","","",""
183,3,"興化","Xinghua","","江蘇興化","Jiangsu Xinghua"
184,42,"歷城","Licheng","","山東歷城","Shandong Licheng"
185,130,"榆次","Yuci","","山西榆次","Shanxi Yuci"
186,126,"嘉禾","Jiahe","","湖南嘉禾","Hunan Jiahe"
187,44,"嘉興","Jiaxing","","浙江嘉興","Zhejiang Jiaxing"
