"hwkID","NamePY","NameHZ","Region","Page"
88,"Shen Gu","沈 榖"," 浙 江 嘉 興 人",370
89,"Shen Gui","沈 溎"," 廣 西 桂 林 人",368
90,"Shen He","沈 和"," 浙 江 海 寧 人",362
91,"Shen He","沈 荷"," 浙 江 蕭 山 人",366
92,"Shen Huaman","沈 華 鬘"," 吳 江 人",116
93,"Shen Huanghou","沈 皇 后","",14
94,"Shen Hui","申 蕙"," 江 蘇 長 洲 人",268
95,"Shen Huiduan","沈 蕙 端"," 吳 江 人",117
96,"Shen Huiyu","沈 蕙 玉"," 江 蘇 吳 江 人",371
97,"Shen Huizhao","沈 蕙 昭"," 浙 江 錢 塘 人",368
98,"Shen Huizhu","沈 慧 珠"," 浙 江 海 寧 人",373
99,"Shen Jin","沈 金"," 浙 江 平 湖 人",363
100,"Shen Jingjun","沈 靜 筠"," 江 蘇 吳 江 人",371
101,"Shen Jingzhuan","沈 靜 專"," 吳 江 人",117
102,"Shen Jinrui","沈 金 蕊"," 浙 江 海 鹽 人",363
103,"Shen Jiying","申 輯 英"," 貴 州 銅 任 人",269
104,"Shen Jiyun","沈 吉 雲"," 江 蘇 上 海 人",362
105,"Shen Ke","沈 坷"," 江 蘇 江 陰 人",364
106,"Shen Lan","沈 蘭"," 浙 江 嘉 興 人",373
107,"Shen Li","沈 栗"," 浙 江 嘉 善 人",364
108,"Shen Lianzhu","沈 簌 珠"," 浙 江 錢 塘 人",371
109,"Shen Linxian","沈 琳 仙"," 浙 江 歸 安 人",368
110,"Shen Manyuan","沈 滿 願","",12
111,"Shen Maozhao","沈 懋 昭"," 江 蘇 華 亭 人",371
112,"Shen Mei","沈 枚"," 浙 江 山 陰 人",363
113,"Shen Meilin","沈 梅 林"," 江 蘇 吳 江 人",365
114,"Shen Meixian","沈 梅 仙"," 浙 江 嘉 興 人",365
115,"Shen Mengheng","沈 夢 蘅"," 浙 江 錢 塘 人",370
116,"Shen Pei","沈 佩"," 浙 江 桐 鄉 人",362
117,"Shen Peigui","沈 佩 桂"," 江 蘇 上 海 人",362
118,"Shen Qi","沈 綺"," 江 蘇 常 熟 人",370
119,"Shen Qinghan","沈 清 涵"," 江 蘇 蘇 州 人",366
120,"Shen Qiongju","沈 瓊 琚"," 浙 江 嘉 善 人",372
121,"Shen Qionglian","沈 瓊 蓮"," 烏 程 人",118
122,"Shen Queying","沈 鵲 應"," 福 建 候 官 人",372
123,"Shen Renlan","沈 紉 蘭"," 嘉 興 人",115
124,"Shen Rui","沈 蕊"," 浙 江 嘉 興 人",373
125,"Shen Ruiyu","沈 瑞 玉"," 江 蘇 吳 江 人",368
126,"Shen Shanbao","沈 善 寶"," 浙 江 錢 塘 人",366
127,"Shen shi","沈 氏 （   莊 潮 生 妻 ）"," 江 蘇 常 州 人",374
128,"Shen shi","沈 氏 （ 詹 雙 娑 妻 ）"," 浙 江 臨 海 人",374
129,"Shen shi","沈 氏 （ 錢 應 霖 妻 ）"," 浙 江 歸 安 人",374
130,"Shen shi","沈 氏 （ 姚 啟 聖 妻 ）"," 浙 江 會 稽 人",374
131,"Shen shi","沈 氏 （ 李 彬 儒 妻 ）"," 浙 江 平 湖 人",374
132,"Shen shi","沈 氏 （ 遁 天 聲 妻  ）","",373
133,"Shen shu","沈 淑","",54
134,"Shen Shuduan","沈 淑 端"," 浙 江 德 清 人",366
135,"Shen Shulan","沈 淑 蘭"," 浙 江 吳 興 人",366
136,"Shen Shuliang","沈 婌 廉"," 江 蘇 高 郵 人",365
137,"Shen Shunu","沈 淑 女"," 吳 江 人",116
138,"Shen Shunzhen","沈 順 貞"," 江 蘇 江 陰 人",366
139,"Shen Shurong","沈 樹 榮"," 江 蘇 吳 江 人",371
140,"Shen Shuxin","沈 淑 馨"," 江 蘇 吳 江 人",366
141,"Shen Sun","沈 蓀"," 浙 江 仁 和 人",371
142,"Shen Suying","沈 素 瑛"," 長 洲 人",116
143,"Shen Tiansun","沈 天 孫"," 寧 國 人",111
144,"Shen Tongmei","沈 同 梅"," 浙 江 會 稽 人",361
145,"Shen Wan","沈 宛"," 浙 江 烏 程 人",363
